,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
355,,,,,,,Output:161104 Regional integration & international relations promoted,,,,,,,
356,,,211101  General Staff Salaries,,0,0,,,,"68,377","114,997",,"68,377","114,997"
357,,,211103  Allowances,,"118,439","171,407",,,,"118,439","171,407",,0,0
358,,,213001  Medical Expenses(To Employees),,"1,194","1,194",,,,"1,194","1,194",,0,0
359,,,"213002  Incapacity, death benefits and funeral e",,"1,194","1,194",,,,"1,194","1,194",,0,0
360,,,221008  Computer Supplies and IT Services,,"4,775","6,764",,,,"4,775","6,764",,0,0
361,,,221009  Welfare and Entertainment,,"414,353","644,454",,,,"414,353","644,454",,0,0
362,,,"221011  Printing, Stationery, Photocopying and ",,"5,571","5,571",,,,"5,571","5,571",,0,0
363,,,222001  Telecommunications,,"23,755","23,755",,,,"23,755","23,755",,0,0
364,,,223005  Electricity,,"125,000","250,000",,,,"125,000","250,000",,0,0
365,,,223006  Water,,"125,000","150,000",,,,"125,000","150,000",,0,0
366,,,224002  General Supply of Goods and Services,,"19,475","40,000",,,,"19,475","40,000",,0,0
367,,,227001  Travel Inland,,"151,039","508,572",,,,"151,039","508,572",,0,0
368,,,227002  Travel Abroad,,"2,055,988","8,776,772",,,,"2,055,988","8,776,772",,0,0
369,,,228002  Maintenance - Vehicles,,"40,878","92,657",,,,"40,878","92,657",,0,0
370,,,"228003  Maintenance Machinery, Equipment an",,"2,819","5,969",,,,"2,819","5,969",,0,0
371,,,,,,,"Output:161105 Trade, tourism & investment promoted",,,,,,,
372,,,211101  General Staff Salaries,,0,0,,,,"54,702","91,998",,"54,702","91,998"
373,,,211103  Allowances,,"93,505","135,322",,,,"93,505","135,322",,0,0
374,,,213001  Medical Expenses(To Employees),,942,942,,,,942,942,,0,0
375,,,"213002  Incapacity, death benefits and funeral e",,942,942,,,,942,942,,0,0
376,,,221008  Computer Supplies and IT Services,,"3,770","5,340",,,,"3,770","5,340",,0,0
377,,,221009  Welfare and Entertainment,,"22,183","34,501",,,,"22,183","34,501",,0,0
378,,,"221011  Printing, Stationery, Photocopying and ",,"4,398","4,398",,,,"4,398","4,398",,0,0
379,,,222001  Telecommunications,,"18,754","18,754",,,,"18,754","18,754",,0,0
380,,,223005  Electricity,,"13,441","26,882",,,,"13,441","26,882",,0,0
381,,,223006  Water,,"13,441","16,129",,,,"13,441","16,129",,0,0
382,,,224002  General Supply of Goods and Services,,"15,375","30,000",,,,"15,375","30,000",,0,0
383,,,227001  Travel Inland,,"151,039","608,572",,,,"151,039","608,572",,0,0
384,,,,,,,,,,,,Vote:002,,
385,,,,State House,,,,,,,,,,
386,,Vote Function 1611 Administration & Support to the Presidency,,,,,,,,,,,,
387,,,,,,,,Programme  01 Headquarters,,,,,,
388,,,228002  Maintenance - Vehicles,,"40,878","92,657",,,,"40,878","92,657",,0,0
389,,,"228003  Maintenance Machinery, Equipment an",,"2,225","4,712",,,,"2,225","4,712",,0,0
390,,,,,,,Output:161106 Community outreach programmes and welfare activities attended to,,,,,,,
391,,,211101  General Staff Salaries,,0,0,,,,"41,026","68,998",,"41,026","68,998"
392,,,211103  Allowances,,"68,570","99,236",,,,"68,570","99,236",,0,0
393,,,213001  Medical Expenses(To Employees),,691,691,,,,691,691,,0,0
394,,,"213002  Incapacity, death benefits and funeral e",,691,691,,,,691,691,,0,0
395,,,221008  Computer Supplies and IT Services,,"2,764","3,916",,,,"2,764","3,916",,0,0
396,,,221009  Welfare and Entertainment,,"16,267","25,301",,,,"16,267","25,301",,0,0
397,,,"221011  Printing, Stationery, Photocopying and ",,"3,225","3,225",,,,"3,225","3,225",,0,0
398,,,222001  Telecommunications,,"13,753","13,753",,,,"13,753","13,753",,0,0
399,,,223005  Electricity,,"13,441","26,882",,,,"13,441","26,882",,0,0
400,,,223006  Water,,"13,441","16,129",,,,"13,441","16,129",,0,0
401,,,224002  General Supply of Goods and Services,,"11,275","50,000",,,,"11,275","50,000",,0,0
402,,,227001  Travel Inland,,"641,915","1,283,829",,,,"641,915","1,283,829",,0,0
403,,,"227003  Carriage, Haulage, Freight and Transpo",,"25,000",0,,,,"25,000",0,,0,0
404,,,228002  Maintenance - Vehicles,,"229,983","521,294",,,,"229,983","521,294",,0,0
405,,,"228003  Maintenance Machinery, Equipment an",,"1,632","3,455",,,,"1,632","3,455",,0,0
406,,,282101  Donations,,"6,048,000","80,582,049",,,,"6,048,000","80,582,049",,0,0
407,,,,,,,,Programme  02 Office of the Vice President,,,,,,
408,,,,,,,"Output:161101 Adequate financial, human & logistical resources acquired and availed",,,,,,,
409,,,211101  General Staff Salaries,,0,0,,,,"150,844","150,844",,"150,844","150,844"
410,,,211103  Allowances,,"108,679","108,679",,,,"108,679","108,679",,0,0
411,,,213001  Medical Expenses(To Employees),,"5,660","5,660",,,,"5,660","5,660",,0,0
412,,,"213002  Incapacity, death benefits and funeral e",,"1,132","3,396",,,,"1,132","3,396",,0,0
413,,,221002  Workshops and Seminars,,"10,000","8,000",,,,"10,000","8,000",,0,0
414,,,221003  Staff Training,,"5,887","5,000",,,,"5,887","5,000",,0,0
415,,,"221007  Books, Periodicals and Newspapers",,"6,394","7,000",,,,"6,394","7,000",,0,0
416,,,221008  Computer Supplies and IT Services,,"3,962","3,962",,,,"3,962","3,962",,0,0
417,,,221009  Welfare and Entertainment,,"14,458","14,458",,,,"14,458","14,458",,0,0
418,,,"221011  Printing, Stationery, Photocopying and ",,"9,057","11,321",,,,"9,057","11,321",,0,0
419,,,222001  Telecommunications,,"30,000","30,000",,,,"30,000","30,000",,0,0
420,,,222002  Postage and Courier,,181,181,,,,181,181,,0,0
421,,,224002  General Supply of Goods and Services,,"10,988","10,988",,,,"10,988","10,988",,0,0
422,,,227001  Travel Inland,,"267,029","300,000",,,,"267,029","300,000",,0,0
423,,,227002  Travel Abroad,,"41,950","50,000",,,,"41,950","50,000",,0,0
424,,,228002  Maintenance - Vehicles,,"46,452","46,452",,,,"46,452","46,452",,0,0
425,,,"228003  Maintenance Machinery, Equipment an",,"3,396","3,396",,,,"3,396","3,396",,0,0
426,,,228004  Maintenance  Other,,"9,000","9,000",,,,"9,000","9,000",,0,0
427,,,,,,,"Output:161102 Logistical Support, Welfare & security provided to HE The President, VP & their families",,,,,,,
428,,,211101  General Staff Salaries,,0,0,,,,"172,465","172,465",,"172,465","172,465"
429,,,211103  Allowances,,"124,981","124,981",,,,"124,981","124,981",,0,0
430,,,213001  Medical Expenses(To Employees),,"6,509","6,509",,,,"6,509","6,509",,0,0
431,,,"213002  Incapacity, death benefits and funeral e",,"1,302","3,906",,,,"1,302","3,906",,0,0
432,,,221003  Staff Training,,"6,770","5,000",,,,"6,770","5,000",,0,0
433,,,,,,,,,Public Administration Sector ,,,,,
434,,,,,,,,,,,,Vote:002,,
435,,,,State House,,,,,,,,,,
436,,Vote Function 1611 Administration & Support to the Presidency,,,,,,,,,,,,
437,,,,,,,,Programme  02 Office of the Vice President,,,,,,
438,,,"221007  Books, Periodicals and Newspapers",,"12,806","13,000",,,,"12,806","13,000",,0,0
439,,,221008  Computer Supplies and IT Services,,"4,557","4,557",,,,"4,557","4,557",,0,0
440,,,221009  Welfare and Entertainment,,"60,000","60,000",,,,"60,000","60,000",,0,0
441,,,221010  Special Meals and Drinks,,"86,400","86,400",,,,"86,400","86,400",,0,0
442,,,"221011  Printing, Stationery, Photocopying and ",,"10,415","13,019",,,,"10,415","13,019",,0,0
443,,,222001  Telecommunications,,"82,740","82,740",,,,"82,740","82,740",,0,0
444,,,222002  Postage and Courier,,208,208,,,,208,208,,0,0
445,,,223005  Electricity,,"24,000","24,000",,,,"24,000","24,000",,0,0
446,,,223006  Water,,"6,000","6,000",,,,"6,000","6,000",,0,0
447,,,"223007  Other Utilities- (fuel, gas, f",,"6,000","6,000",,,,"6,000","6,000",,0,0
448,,,224002  General Supply of Goods and Services,,"182,400","182,400",,,,"182,400","182,400",,0,0
449,,,227001  Travel Inland,,"296,699","300,000",,,,"296,699","300,000",,0,0
450,,,227002  Travel Abroad,,"111,867","150,000",,,,"111,867","150,000",,0,0
451,,,228002  Maintenance - Vehicles,,"51,613","51,613",,,,"51,613","51,613",,0,0
452,,,"228003  Maintenance Machinery, Equipment an",,"3,906","3,906",,,,"3,906","3,906",,0,0
453,,,228004  Maintenance  Other,,"9,000","9,000",,,,"9,000","9,000",,0,0
454,,,,,,,"Output:161103 Masses mobilized towards poverty reduction, peace & development",,,,,,,
455,,,211101  General Staff Salaries,,0,0,,,,"119,647","119,647",,"119,647","119,647"
456,,,211103  Allowances,,"315,170","315,170",,,,"315,170","315,170",,0,0
457,,,213001  Medical Expenses(To Employees),,"16,415","16,415",,,,"16,415","16,415",,0,0
458,,,"213002  Incapacity, death benefits and funeral e",,"3,283","9,849",,,,"3,283","9,849",,0,0
459,,,221003  Staff Training,,"17,072","8,000",,,,"17,072","8,000",,0,0
460,,,221008  Computer Supplies and IT Services,,"11,491","11,491",,,,"11,491","11,491",,0,0
461,,,221009  Welfare and Entertainment,,"41,928","41,928",,,,"41,928","41,928",,0,0
462,,,"221011  Printing, Stationery, Photocopying and ",,"26,264","32,830",,,,"26,264","32,830",,0,0
463,,,222001  Telecommunications,,"48,554","48,554",,,,"48,554","48,554",,0,0
464,,,222002  Postage and Courier,,525,525,,,,525,525,,0,0
465,,,224002  General Supply of Goods and Services,,"31,865","31,865",,,,"31,865","31,865",,0,0
466,,,227001  Travel Inland,,"2,183,922","2,526,000",,,,"2,183,922","2,526,000",,0,0
467,,,228002  Maintenance - Vehicles,,"356,129","356,129",,,,"356,129","356,129",,0,0
468,,,"228003  Maintenance Machinery, Equipment an",,"9,849","9,849",,,,"9,849","9,849",,0,0
469,,,,,,,Output:161104 Regional integration & international relations promoted,,,,,,,
470,,,211101  General Staff Salaries,,0,0,,,,"21,998","21,998",,"21,998","21,998"
471,,,211103  Allowances,,"16,302","16,302",,,,"16,302","16,302",,0,0
472,,,213001  Medical Expenses(To Employees),,849,849,,,,849,849,,0,0
473,,,"213002  Incapacity, death benefits and funeral e",,170,509,,,,170,509,,0,0
474,,,221003  Staff Training,,883,"1,000",,,,883,"1,000",,0,0
475,,,221008  Computer Supplies and IT Services,,594,594,,,,594,594,,0,0
476,,,221009  Welfare and Entertainment,,"2,169","2,169",,,,"2,169","2,169",,0,0
477,,,"221011  Printing, Stationery, Photocopying and ",,"1,358","1,698",,,,"1,358","1,698",,0,0
478,,,222001  Telecommunications,,"2,511","2,511",,,,"2,511","2,511",,0,0
479,,,224002  General Supply of Goods and Services,,"1,648","1,648",,,,"1,648","1,648",,0,0
480,,,227002  Travel Abroad,,"298,388","500,000",,,,"298,388","500,000",,0,0
481,,,"228003  Maintenance Machinery, Equipment an",,509,509,,,,509,509,,0,0
482,,,,,,,"Output:161105 Trade, tourism & investment promoted",,,,,,,
483,,,211101  General Staff Salaries,,0,0,,,,"15,713","15,713",,"15,713","15,713"
484,,,211103  Allowances,,"10,868","10,868",,,,"10,868","10,868",,0,0
485,,,213001  Medical Expenses(To Employees),,566,566,,,,566,566,,0,0
486,,,"213002  Incapacity, death benefits and funeral e",,113,340,,,,113,340,,0,0
487,,,221003  Staff Training,,589,"1,000",,,,589,"1,000",,0,0
488,,,,,,,,,,,,Vote:002,,
489,,,,State House,,,,,,,,,,
490,,Vote Function 1611 Administration & Support to the Presidency,,,,,,,,,,,,
491,,,,,,,,Programme  02 Office of the Vice President,,,,,,
492,,,221009  Welfare and Entertainment,,"1,446","1,446",,,,"1,446","1,446",,0,0
493,,,"221011  Printing, Stationery, Photocopying and ",,906,"1,132",,,,906,"1,132",,0,0
494,,,222001  Telecommunications,,"1,674","1,674",,,,"1,674","1,674",,0,0
495,,,224002  General Supply of Goods and Services,,"1,099","1,099",,,,"1,099","1,099",,0,0
496,,,227001  Travel Inland,,"59,340","70,000",,,,"59,340","70,000",,0,0
497,,,227002  Travel Abroad,,"144,571","300,000",,,,"144,571","300,000",,0,0
498,,,228002  Maintenance - Vehicles,,"10,323","10,323",,,,"10,323","10,323",,0,0
499,,,"228003  Maintenance Machinery, Equipment an",,340,340,,,,340,340,,0,0
500,,,,,,,Output:161106 Community outreach programmes and welfare activities attended to,,,,,,,
501,,,227001  Travel Inland,,"89,010","200,000",,,,"89,010","200,000",,0,0
502,,,228002  Maintenance - Vehicles,,"15,484","15,484",,,,"15,484","15,484",,0,0
503,,,282101  Donations,,"120,000","240,000",,,,"120,000","240,000",,0,0
504,,,,,,,,Programme  04 Internal Audit,,,,,,
505,,,,,,,"Output:161101 Adequate financial, human & logistical resources acquired and availed",,,,,,,
506,,,211101  General Staff Salaries,,0,0,,,,"20,569","20,569",,"20,569","20,569"
507,,,211103  Allowances,,"12,206","12,206",,,,"12,206","12,206",,0,0
508,,,221003  Staff Training,,"5,000","5,000",,,,"5,000","5,000",,0,0
509,,,221008  Computer Supplies and IT Services,,"2,000","2,000",,,,"2,000","2,000",,0,0
510,,,221009  Welfare and Entertainment,,"2,400","2,400",,,,"2,400","2,400",,0,0
511,,,"221011  Printing, Stationery, Photocopying and ",,"2,400","2,172",,,,"2,400","2,172",,0,0
512,,,227001  Travel Inland,,"48,000","48,000",,,,"48,000","48,000",,0,0
513,,,,,,,,Programme  05 Medicines and Health Services Delivery Monitoring,,,,,,
514,,,,,,,Output:161106 Community outreach programmes and welfare activities attended to,,,,,,,
515,,,211101  General Staff Salaries,,0,0,,,,"680,827","680,827",,"680,827","680,827"
516,,,211103  Allowances,,"189,360","189,360",,,,"189,360","189,360",,0,0
517,,,"221007  Books, Periodicals and Newspapers",,"1,800","1,472",,,,"1,800","1,472",,0,0
518,,,221009  Welfare and Entertainment,,"55,320","55,320",,,,"55,320","55,320",,0,0
519,,,"221011  Printing, Stationery, Photocopying and ",,"9,000","8,145",,,,"9,000","8,145",,0,0
520,,,222001  Telecommunications,,"75,074","75,074",,,,"75,074","75,074",,0,0
521,,,223005  Electricity,,"2,400","2,400",,,,"2,400","2,400",,0,0
522,,,223006  Water,,600,600,,,,600,600,,0,0
523,,,227001  Travel Inland,,"551,880","551,880",,,,"551,880","551,880",,0,0
524,,,228002  Maintenance - Vehicles,,"6,000","6,000",,,,"6,000","6,000",,0,0
525,,,228004  Maintenance  Other,,600,600,,,,600,600,,0,0
526,Development Budget Estimates,,,,,,,,,,,,,
527,,,,,,,,,Public Administration Sector ,,,,,
528,,,,,,,,,,,,Vote:002,,
529,,,,State House,,,,,,,,,,
530,,Vote Function 1611 Administration & Support to the Presidency,,,,,,,,,,,,
531,,,,,,,,Project  0008 Support to State House,,,,,,
532,,,,,,,Output:161175 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
533,,,231004  Transport Equipment,,0,0,,,,"688,411","688,411",,"688,411","688,411"
534,,,312206  Gross Tax,,0,0,,,,"3,000,000","3,000,000",,"3,000,000","3,000,000"
535,,,,,,,,Project  0889 Poverty Alleviation Project,,,,,,
536,,,,,,,"Output:161103 Masses mobilized towards poverty reduction, peace & development",,,,,,,
537,,,211103  Allowances,,0,0,,,,"56,225","56,225",,"56,225","56,225"
538,,,221001  Advertising and Public Relations,,0,0,,,,"35,003","35,003",,"35,003","35,003"
539,,,221003  Staff Training,,0,0,,,,"10,001","10,001",,"10,001","10,001"
540,,,"221007  Books, Periodicals and Newspapers",,0,0,,,,"8,001","6,401",,"8,001","6,401"
541,,,221009  Welfare and Entertainment,,0,0,,,,"5,000","5,000",,"5,000","5,000"
542,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"12,201","10,981",,"12,201","10,981"
543,,,222001  Telecommunications,,0,0,,,,"20,002","20,002",,"20,002","20,002"
544,,,224002  General Supply of Goods and Services,,0,0,,,,"609,558","548,602",,"609,558","548,602"
545,,,227001  Travel Inland,,0,0,,,,"179,097","179,097",,"179,097","179,097"
546,,,227002  Travel Abroad,,0,0,,,,"30,003","30,003",,"30,003","30,003"
547,,,"227003  Carriage, Haulage, Freight and Transpo",,0,0,,,,"15,001","15,001",,"15,001","15,001"
548,,,228002  Maintenance - Vehicles,,0,0,,,,"17,002","17,002",,"17,002","17,002"
549,,,"228003  Maintenance Machinery, Equipment an",,0,0,,,,"3,000","3,000",,"3,000","3,000"
550,,,,,,,,,,,Total,,,
551,,,,,,,,,,"63,234,884",,,,
552,,,,,,,,,,"60,234,884",,,,
553,,,,,,,,,,"63,234,884",,,,
554,,,,,,,,,,"60,234,884",,,,
555,,,,,,,,,Public Administration Sector ,,,,,
556,,,,,,,,,,,,Vote:003,,
557,,,,Office of the Prime Minister,,,,,,,,,,
558,,"Vote Function 1301 Policy Coordination, Monitoring and Evaluation",,,,,,,,,,,,
559,Recurrent Budget Estimates,,,,,,,,,,,,,
560,,,,,,,,Programme  01 Executive Office,,,,,,
561,,,,,,,Output:130101 Government policy implementation coordination,,,,,,,
562,,,211101  General Staff Salaries,,0,0,,,,"172,639","212,639",,"172,639","212,639"
563,,,211103  Allowances,,"10,100","27,854",,,,"10,100","27,854",,0,0
564,,,213001  Medical Expenses(To Employees),,"1,000","10,000",,,,"1,000","10,000",,0,0
565,,,221001  Advertising and Public Relations,,"16,000","8,000",,,,"16,000","8,000",,0,0
566,,,221006  Commissions and Related Charges,,490,0,,,,490,0,,0,0
567,,,"221007  Books, Periodicals and Newspapers",,451,"2,224",,,,451,"2,224",,0,0
568,,,221008  Computer Supplies and IT Services,,"1,000","32,000",,,,"1,000","32,000",,0,0
569,,,221009  Welfare and Entertainment,,"7,031","20,000",,,,"7,031","20,000",,0,0
570,,,"221011  Printing, Stationery, Photocopying and ",,"3,293","10,800",,,,"3,293","10,800",,0,0
571,,,221012  Small Office Equipment,,927,"5,000",,,,927,"5,000",,0,0
572,,,221016  IFMS Recurrent Costs,,"7,262",0,,,,"7,262",0,,0,0
573,,,222001  Telecommunications,,"24,036","10,000",,,,"24,036","10,000",,0,0
574,,,222003  Information and Communications Tech,,"3,200","4,000",,,,"3,200","4,000",,0,0
575,,,223003  Rent - Produced Assets to private entiti,,"23,278",0,,,,"23,278",0,,0,0
576,,,223004  Guard and Security services,,"16,350","20,000",,,,"16,350","20,000",,0,0
577,,,223005  Electricity,,"10,000","8,000",,,,"10,000","8,000",,0,0
578,,,223006  Water,,"9,242","4,000",,,,"9,242","4,000",,0,0
579,,,224002  General Supply of Goods and Services,,"1,430",0,,,,"1,430",0,,0,0
580,,,227001  Travel Inland,,"36,360","36,000",,,,"36,360","36,000",,0,0
581,,,227002  Travel Abroad,,"47,326","36,000",,,,"47,326","36,000",,0,0
582,,,"227004  Fuel, Lubricants and Oils",,"10,000","25,200",,,,"10,000","25,200",,0,0
583,,,228002  Maintenance - Vehicles,,"18,833","10,000",,,,"18,833","10,000",,0,0
584,,,"228003  Maintenance Machinery, Equipment an",,516,"7,903",,,,516,"7,903",,0,0
585,,,282101  Donations,,"103,777",0,,,,"103,777",0,,0,0
586,,,,,,,Output:130102 Government business in Parliament coordinated,,,,,,,
587,,,211103  Allowances,,"10,000","20,000",,,,"10,000","20,000",,0,0
588,,,213001  Medical Expenses(To Employees),,"1,000",0,,,,"1,000",0,,0,0
589,,,221001  Advertising and Public Relations,,"1,000","8,000",,,,"1,000","8,000",,0,0
590,,,221003  Staff Training,,"20,000",0,,,,"20,000",0,,0,0
591,,,221006  Commissions and Related Charges,,490,0,,,,490,0,,0,0
592,,,"221007  Books, Periodicals and Newspapers",,451,0,,,,451,0,,0,0
593,,,221008  Computer Supplies and IT Services,,500,0,,,,500,0,,0,0
594,,,221009  Welfare and Entertainment,,"3,031","6,000",,,,"3,031","6,000",,0,0
595,,,"221011  Printing, Stationery, Photocopying and ",,"5,200",0,,,,"5,200",0,,0,0
596,,,221012  Small Office Equipment,,"2,000",0,,,,"2,000",0,,0,0
597,,,221016  IFMS Recurrent Costs,,"7,262",0,,,,"7,262",0,,0,0
598,,,222001  Telecommunications,,"10,000",0,,,,"10,000",0,,0,0
599,,,222003  Information and Communications Tech,,"15,000",0,,,,"15,000",0,,0,0
600,,,223004  Guard and Security services,,"6,350",0,,,,"6,350",0,,0,0
601,,,223005  Electricity,,"5,000",0,,,,"5,000",0,,0,0
602,,,223006  Water,,"3,242",0,,,,"3,242",0,,0,0
603,,,224002  General Supply of Goods and Services,,"5,000",0,,,,"5,000",0,,0,0
604,,,227001  Travel Inland,,"23,869","25,200",,,,"23,869","25,200",,0,0
605,,,"227004  Fuel, Lubricants and Oils",,"10,000","18,000",,,,"10,000","18,000",,0,0
606,,,228002  Maintenance - Vehicles,,"8,833","16,000",,,,"8,833","16,000",,0,0
607,,,,,,,,,Public Sector Management Sector ,,,,,
